Ensembl Gene ID	Gene Symbol	p-value value	Geneset friends	Total friends	BioType	GO Annotation	Chromosome	Chromosome Start	Chromosome End
ENSG00000111727	HCFC2	3.36e-01	1	2206	protein_coding	host cell factor C2	12	104458235	104498639
ENSG00000105173	CCNE1	3.36e-01	1	2210	protein_coding	cyclin E1	19	30302805	30315215
ENSG00000163909	HEYL	3.36e-01	1	2210	protein_coding	hes-related family bHLH transcription factor with YRPW motif-like	1	40089825	40105617
ENSG00000106546	AHR	3.37e-01	1	2212	protein_coding	aryl hydrocarbon receptor	7	17338246	17385776
ENSG00000176973	FAM89B	3.37e-01	1	2213	protein_coding	family with sequence similarity 89, member B	11	65339820	65341669
ENSG00000102981	PARD6A	3.37e-01	1	2215	protein_coding	par-6 family cell polarity regulator alpha	16	67694849	67696681
ENSG00000074319	TSG101	3.40e-01	1	2239	protein_coding	tumor susceptibility 101	11	18489883	18548779
ENSG00000064961	HMG20B	3.40e-01	1	2239	protein_coding	high mobility group 20B	19	3572775	3579086
ENSG00000105419	MEIS3	3.40e-01	1	2242	protein_coding	Meis homeobox 3	19	47906381	47922780
ENSG00000117707	PROX1	3.40e-01	1	2242	protein_coding	prospero homeobox 1	1	214156524	214214595
ENSG00000153814	JAZF1	3.41e-01	1	2245	protein_coding	JAZF zinc finger 1	7	27870192	28220362
ENSG00000150907	FOXO1	3.41e-01	1	2247	protein_coding	forkhead box O1	13	41129804	41240734
ENSG00000180530	NRIP1	3.41e-01	1	2250	protein_coding	nuclear receptor interacting protein 1	21	16333556	16437321
ENSG00000104825	NFKBIB	3.42e-01	1	2258	protein_coding	nuclear factor of kappa light polypeptide gene enhancer in B-cells inhibitor, beta	19	39390340	39399533
ENSG00000155592	ZKSCAN2	3.43e-01	1	2264	protein_coding	zinc finger with KRAB and SCAN domains 2	16	25247322	25269252
ENSG00000005073	HOXA11	3.44e-01	1	2268	protein_coding	homeobox A11	7	27221129	27224842
ENSG00000176371	ZSCAN2	3.45e-01	1	2277	protein_coding	zinc finger and SCAN domain containing 2	15	85144217	85171027
ENSG00000047634	SCML1	3.45e-01	1	2279	protein_coding	sex comb on midleg-like 1 (Drosophila)	X	17755588	17773105
ENSG00000112214	FHL5	3.45e-01	1	2281	protein_coding	four and a half LIM domains 5	6	97010424	97064512
ENSG00000178764	ZHX2	3.46e-01	1	2286	protein_coding	zinc fingers and homeoboxes 2	8	123793633	123986750
ENSG00000140968	IRF8	3.47e-01	1	2296	protein_coding	interferon regulatory factor 8	16	85932409	85956215
ENSG00000115548	KDM3A	3.48e-01	1	2305	protein_coding	lysine (K)-specific demethylase 3A	2	86667770	86719839
ENSG00000141968	VAV1	3.49e-01	1	2311	protein_coding	vav 1 guanine nucleotide exchange factor	19	6772725	6857377
ENSG00000176399	DMRTA1	3.51e-01	1	2324	protein_coding	DMRT-like family A1	9	22446840	22455739
ENSG00000102554	KLF5	3.51e-01	1	2328	protein_coding	Kruppel-like factor 5 (intestinal)	13	73629114	73651676
ENSG00000084093	REST	3.51e-01	1	2331	protein_coding	RE1-silencing transcription factor	4	57774075	57802010
ENSG00000013561	RNF14	3.52e-01	1	2332	protein_coding	ring finger protein 14	5	141337893	141369856
ENSG00000166164	BRD7	3.52e-01	1	2335	protein_coding	bromodomain containing 7	16	50347398	50402845
ENSG00000152454	ZNF256	3.52e-01	1	2337	protein_coding	zinc finger protein 256	19	58452201	58459043
ENSG00000100823	APEX1	3.53e-01	1	2343	protein_coding	APEX nuclease (multifunctional DNA repair enzyme) 1	14	20923350	20925927
ENSG00000172059	KLF11	3.53e-01	1	2348	protein_coding	Kruppel-like factor 11	2	10182976	10194963
ENSG00000136504	KAT7	3.54e-01	1	2352	protein_coding	K(lysine) acetyltransferase 7	17	47865917	47906458
ENSG00000182158	CREB3L2	3.55e-01	1	2357	protein_coding	cAMP responsive element binding protein 3-like 2	7	137559725	137686813
ENSG00000173230	GOLGB1	3.55e-01	1	2362	protein_coding	golgin B1	3	121382046	121468602
ENSG00000189157	FAM47E	3.55e-01	1	2363	protein_coding	family with sequence similarity 47, member E	4	77135193	77204933
ENSG00000107175	CREB3	3.56e-01	1	2368	protein_coding	cAMP responsive element binding protein 3	9	35732332	35737001
ENSG00000135638	EMX1	3.56e-01	1	2368	protein_coding	empty spiracles homeobox 1	2	73143389	73162020
ENSG00000114315	HES1	3.56e-01	1	2369	protein_coding	hes family bHLH transcription factor 1	3	193853934	193856521
ENSG00000166529	ZSCAN21	3.56e-01	1	2372	protein_coding	zinc finger and SCAN domain containing 21	7	99647390	99662661
ENSG00000138433	CIR1	3.57e-01	1	2378	protein_coding	corepressor interacting with RBPJ, 1	2	175212750	175260443
ENSG00000185155	MIXL1	3.57e-01	1	2378	protein_coding	Mix paired-like homeobox	1	226411319	226414755
ENSG00000198176	TFDP1	3.58e-01	1	2382	protein_coding	transcription factor Dp-1	13	114239013	114295785
ENSG00000126756	UXT	3.59e-01	1	2395	protein_coding	ubiquitously-expressed, prefoldin-like chaperone	X	47511197	47518560
ENSG00000184939	ZFP90	3.60e-01	1	2398	protein_coding	ZFP90 zinc finger protein	16	68563993	68609975
ENSG00000108590	MED31	3.61e-01	1	2408	protein_coding	mediator complex subunit 31	17	6546635	6554954
ENSG00000087274	ADD1	3.61e-01	1	2413	protein_coding	adducin 1 (alpha)	4	2845584	2931803
ENSG00000183337	BCOR	3.61e-01	1	2413	protein_coding	BCL6 corepressor	X	39909068	40036582
ENSG00000137309	HMGA1	3.62e-01	1	2414	protein_coding	high mobility group AT-hook 1	6	34204650	34214008
ENSG00000108055	SMC3	3.62e-01	1	2417	protein_coding	structural maintenance of chromosomes 3	10	112327449	112364394
ENSG00000164105	SAP30	3.62e-01	1	2419	protein_coding	Sin3A-associated protein, 30kDa	4	174291120	174298683
ENSG00000104064	GABPB1	3.63e-01	1	2424	protein_coding	GA binding protein transcription factor, beta subunit 1	15	50569389	50647605
ENSG00000119596	YLPM1	3.64e-01	1	2431	protein_coding	YLP motif containing 1	14	75230069	75322244
ENSG00000165588	OTX2	3.64e-01	1	2433	protein_coding	orthodenticle homeobox 2	14	57267425	57277197
ENSG00000085274	MYNN	3.65e-01	1	2439	protein_coding	myoneurin	3	169490619	169507504
ENSG00000130816	DNMT1	3.65e-01	1	2440	protein_coding	DNA (cytosine-5-)-methyltransferase 1	19	10244021	10341962
ENSG00000138380	CARF	3.65e-01	1	2446	protein_coding	calcium responsive transcription factor	2	203776937	203851786
ENSG00000108509	CAMTA2	3.66e-01	1	2447	protein_coding	calmodulin binding transcription activator 2	17	4871287	4890960
ENSG00000124641	MED20	3.67e-01	1	2455	protein_coding	mediator complex subunit 20	6	41873092	41888877
ENSG00000256060	TRAPPC2	3.67e-01	1	2455	protein_coding	trafficking protein particle complex 2 pseudogene 1	19	57874879	57876721
ENSG00000183955	SETD8	3.67e-01	1	2458	protein_coding	SET domain containing (lysine methyltransferase) 8	12	123868320	123893905
ENSG00000116044	NFE2L2	3.67e-01	1	2461	protein_coding	nuclear factor, erythroid 2-like 2	2	178092323	178257425
ENSG00000073417	PDE8A	3.68e-01	1	2468	protein_coding	phosphodiesterase 8A	15	85523671	85682376
ENSG00000126003	PLAGL2	3.68e-01	1	2470	protein_coding	pleiomorphic adenoma gene-like 2	20	30780306	30795594
ENSG00000131470	PSMC3IP	3.68e-01	1	2470	protein_coding	PSMC3 interacting protein	17	40724333	40729849
ENSG00000020633	RUNX3	3.70e-01	1	2482	protein_coding	runt-related transcription factor 3	1	25226002	25291612
ENSG00000103495	MAZ	3.70e-01	1	2482	protein_coding	MYC-associated zinc finger protein (purine-binding transcription factor)	16	29817427	29823649
ENSG00000129474	AJUBA	3.70e-01	1	2485	protein_coding	ajuba LIM protein	14	23440383	23451851
ENSG00000188779	SKOR1	3.70e-01	1	2486	protein_coding	SKI family transcriptional corepressor 1	15	68112042	68126899
ENSG00000103449	SALL1	3.71e-01	1	2493	protein_coding	spalt-like transcription factor 1	16	51169886	51185278
ENSG00000112333	NR2E1	3.71e-01	1	2494	protein_coding	nuclear receptor subfamily 2, group E, member 1	6	108487262	108510013
ENSG00000124191	TOX2	3.71e-01	1	2495	protein_coding	TOX high mobility group box family member 2	20	42543504	42698256
ENSG00000169946	ZFPM2	3.72e-01	1	2496	protein_coding	zinc finger protein, FOG family member 2	8	106330920	106816760
ENSG00000117222	RBBP5	3.72e-01	1	2498	protein_coding	retinoblastoma binding protein 5	1	205055270	205091143
ENSG00000143006	DMRTB1	3.72e-01	1	2502	protein_coding	DMRT-like family B with proline-rich C-terminal, 1	1	53925072	53933161
ENSG00000010244	ZNF207	3.73e-01	1	2505	protein_coding	zinc finger protein 207	17	30677136	30708905
ENSG00000179456	ZBTB18	3.73e-01	1	2506	protein_coding	zinc finger and BTB domain containing 18	1	244214585	244220778
ENSG00000129194	SOX15	3.74e-01	1	2516	protein_coding	SRY (sex determining region Y)-box 15	17	7491496	7493488
ENSG00000079102	RUNX1T1	3.74e-01	1	2518	protein_coding	runt-related transcription factor 1; translocated to, 1 (cyclin D-related)	8	92967203	93115514
ENSG00000160633	SAFB	3.75e-01	1	2522	protein_coding	scaffold attachment factor B	19	5623046	5668489
ENSG00000121297	TSHZ3	3.75e-01	1	2526	protein_coding	teashirt zinc finger homeobox 3	19	31765851	31840453
ENSG00000118762	PKD2	3.75e-01	1	2528	protein_coding	polycystic kidney disease 2 (autosomal dominant)	4	88928820	88998929
ENSG00000163848	ZNF148	3.76e-01	1	2531	protein_coding	zinc finger protein 148	3	124944405	125094198
ENSG00000102034	ELF4	3.77e-01	1	2540	protein_coding	E74-like factor 4 (ets domain transcription factor)	X	129198849	129244691
ENSG00000215301	DDX3X	3.77e-01	1	2540	protein_coding	DEAD (Asp-Glu-Ala-Asp) box helicase 3, X-linked	X	41192651	41223725
ENSG00000138386	NAB1	3.77e-01	1	2542	protein_coding	NGFI-A binding protein 1 (EGR1 binding protein 1)	2	191511472	191557492
ENSG00000155827	RNF20	3.78e-01	1	2551	protein_coding	ring finger protein 20, E3 ubiquitin protein ligase	9	104296133	104325622
ENSG00000149054	ZNF215	3.79e-01	1	2557	protein_coding	zinc finger protein 215	11	6947635	7005863
ENSG00000113231	PDE8B	3.80e-01	1	2567	protein_coding	phosphodiesterase 8B	5	76506274	76725632
ENSG00000005889	ZFX	3.80e-01	1	2569	protein_coding	zinc finger protein, X-linked	X	24167290	24234372
ENSG00000170854	MINA	3.80e-01	1	2570	protein_coding	MYC induced nuclear antigen	3	97660662	97691301
ENSG00000196628	TCF4	3.81e-01	1	2578	protein_coding	transcription factor 4	18	52889562	53332018
ENSG00000110330	BIRC2	3.82e-01	1	2584	protein_coding	baculoviral IAP repeat containing 2	11	102217942	102249401
ENSG00000107438	PDLIM1	3.82e-01	1	2586	protein_coding	PDZ and LIM domain 1	10	96997329	97050781
ENSG00000071564	TCF3	3.83e-01	1	2588	protein_coding	transcription factor 3	19	1609291	1652604
ENSG00000108788	MLX	3.83e-01	1	2592	protein_coding	MLX, MAX dimerization protein	17	40719086	40725257
ENSG00000115966	ATF2	3.86e-01	1	2621	protein_coding	activating transcription factor 2	2	175936978	176033110
ENSG00000102710	SUPT20H	3.86e-01	1	2621	protein_coding	suppressor of Ty 20 homolog (S. cerevisiae)	13	37583449	37633850
ENSG00000149308	NPAT	3.87e-01	1	2625	protein_coding	nuclear protein, ataxia-telangiectasia locus	11	108027942	108093369
ENSG00000148300	REXO4	3.88e-01	1	2638	protein_coding	REX4, RNA exonuclease 4 homolog (S. cerevisiae)	9	136271186	136283164
ENSG00000006194	ZNF263	3.89e-01	1	2646	protein_coding	zinc finger protein 263	16	3313743	3351401
ENSG00000074800	ENO1	3.90e-01	1	2648	protein_coding	enolase 1, (alpha)	1	8921061	8939308
ENSG00000183733	FIGLA	3.91e-01	1	2659	protein_coding	folliculogenesis specific basic helix-loop-helix	2	71004442	71017775
ENSG00000151623	NR3C2	3.91e-01	1	2662	protein_coding	nuclear receptor subfamily 3, group C, member 2	4	148999913	149365850
ENSG00000150459	SAP18	3.93e-01	1	2673	protein_coding	Sin3A-associated protein, 18kDa	13	21714653	21723221
ENSG00000113068	PFDN1	3.93e-01	1	2675	protein_coding	prefoldin subunit 1	5	139624624	139682706
ENSG00000162714	ZNF496	3.94e-01	1	2685	protein_coding	zinc finger protein 496	1	247460714	247495148
ENSG00000072364	AFF4	3.94e-01	1	2686	protein_coding	AF4/FMR2 family, member 4	5	132211071	132299326
ENSG00000166261	ZNF202	3.94e-01	1	2688	protein_coding	zinc finger protein 202	11	123594885	123612383
ENSG00000137504	CREBZF	3.94e-01	1	2689	protein_coding	CREB/ATF bZIP transcription factor	11	85370752	85393951
ENSG00000008405	CRY1	3.94e-01	1	2689	protein_coding	cryptochrome 1 (photolyase-like)	12	107385142	107487607
ENSG00000065978	YBX1	3.95e-01	1	2692	protein_coding	Y box binding protein 1	1	43148098	43168020
ENSG00000110063	DCPS	3.95e-01	1	2695	protein_coding	decapping enzyme, scavenger	11	126173647	126215644
ENSG00000152944	MED21	3.95e-01	1	2696	protein_coding	mediator complex subunit 21	12	27175479	27219276
ENSG00000176182	MYPOP	3.96e-01	1	2701	protein_coding	Myb-related transcription factor, partner of profilin	19	46393278	46405862
ENSG00000111206	FOXM1	3.96e-01	1	2702	protein_coding	forkhead box M1	12	2966847	2986206
ENSG00000018408	WWTR1	3.96e-01	1	2702	protein_coding	WW domain containing transcription regulator 1	3	149235022	149454501
ENSG00000165671	NSD1	3.96e-01	1	2707	protein_coding	nuclear receptor binding SET domain protein 1	5	176560026	176727216
ENSG00000134058	CDK7	3.97e-01	1	2714	protein_coding	cyclin-dependent kinase 7	5	68530668	68573250
ENSG00000033800	PIAS1	3.97e-01	1	2715	protein_coding	protein inhibitor of activated STAT, 1	15	68346517	68483096
ENSG00000100395	L3MBTL2	3.99e-01	1	2728	protein_coding	l(3)mbt-like 2 (Drosophila)	22	41601209	41627275
ENSG00000164758	MED30	4.00e-01	1	2734	protein_coding	mediator complex subunit 30	8	118532952	118552501
ENSG00000141510	TP53	4.00e-01	1	2739	protein_coding	tumor protein p53	17	7565097	7590856
ENSG00000118922	KLF12	4.01e-01	1	2750	protein_coding	Kruppel-like factor 12	13	74260226	74708394
ENSG00000185630	PBX1	4.02e-01	1	2755	protein_coding	pre-B-cell leukemia homeobox 1	1	164524821	164868533
ENSG00000196646	ZNF136	4.02e-01	1	2756	protein_coding	zinc finger protein 136	19	12273879	12300064
ENSG00000156603	MED19	4.03e-01	1	2765	protein_coding	mediator complex subunit 19	11	57471186	57479693
ENSG00000156374	PCGF6	4.03e-01	1	2766	protein_coding	polycomb group ring finger 6	10	105062553	105110891
ENSG00000148411	NACC2	4.03e-01	1	2766	protein_coding	NACC family member 2, BEN and BTB (POZ) domain containing	9	138898383	138987131
ENSG00000189403	HMGB1	4.04e-01	1	2768	protein_coding	high mobility group box 1	13	31032884	31191734
ENSG00000048052	HDAC9	4.04e-01	1	2775	protein_coding	histone deacetylase 9	7	18126572	19042039
ENSG00000196284	SUPT3H	4.04e-01	1	2776	protein_coding	suppressor of Ty 3 homolog (S. cerevisiae)	6	44777054	45345690
ENSG00000198646	NCOA6	4.07e-01	1	2796	protein_coding	nuclear receptor coactivator 6	20	33284722	33413452
ENSG00000149273	RPS3	4.07e-01	1	2798	protein_coding	ribosomal protein S3	11	75110530	75133324
ENSG00000163482	STK36	4.07e-01	1	2799	protein_coding	serine/threonine kinase 36	2	219536749	219567439
ENSG00000198715	C1orf85	4.08e-01	1	2803	protein_coding	chromosome 1 open reading frame 85	1	156259880	156265463
ENSG00000149600	COMMD7	4.08e-01	1	2808	protein_coding	COMM domain containing 7	20	31290493	31331803
ENSG00000188976	NOC2L	4.09e-01	1	2814	protein_coding	nucleolar complex associated 2 homolog (S. cerevisiae)	1	879584	894689
ENSG00000120656	TAF12	4.09e-01	1	2815	protein_coding	TAF12 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 20kDa	1	28915835	28969597
ENSG00000184634	MED12	4.09e-01	1	2818	protein_coding	mediator complex subunit 12	X	70338406	70362303
ENSG00000143321	HDGF	4.11e-01	1	2830	protein_coding	hepatoma-derived growth factor	1	156711899	156736717
ENSG00000119138	KLF9	4.11e-01	1	2837	protein_coding	Kruppel-like factor 9	9	72999503	73029540
ENSG00000152409	JMY	4.12e-01	1	2839	protein_coding	junction mediating and regulatory protein, p53 cofactor	5	78532012	78623038
ENSG00000181690	PLAG1	4.13e-01	1	2848	protein_coding	pleiomorphic adenoma gene 1	8	57073463	57123883
ENSG00000161021	MAML1	4.15e-01	1	2867	protein_coding	mastermind-like 1 (Drosophila)	5	179159851	179223512
ENSG00000100201	DDX17	4.16e-01	1	2874	protein_coding	DEAD (Asp-Glu-Ala-Asp) box helicase 17	22	38879445	38903665
ENSG00000187079	TEAD1	4.16e-01	1	2875	protein_coding	TEA domain family member 1 (SV40 transcriptional enhancer factor)	11	12695969	12966298
ENSG00000135801	TAF5L	4.16e-01	1	2875	protein_coding	TAF5-like RNA polymerase II, p300/CBP-associated factor (PCAF)-associated factor, 65kDa	1	229728858	229761794
ENSG00000120533	ENY2	4.18e-01	1	2892	protein_coding	enhancer of yellow 2 homolog (Drosophila)	8	110346553	110358182
ENSG00000179222	MAGED1	4.19e-01	1	2902	protein_coding	melanoma antigen family D, 1	X	51546103	51645453
ENSG00000164080	RAD54L2	4.19e-01	1	2902	protein_coding	RAD54-like 2 (S. cerevisiae)	3	51575160	51702683
ENSG00000148450	MSRB2	4.19e-01	1	2903	protein_coding	methionine sulfoxide reductase B2	10	23384435	23410942
ENSG00000165156	ZHX1	4.19e-01	1	2907	protein_coding	zinc fingers and homeoboxes 1	8	124260696	124287781
ENSG00000169375	SIN3A	4.20e-01	1	2916	protein_coding	SIN3 transcription regulator family member A	15	75661720	75748183
ENSG00000006704	GTF2IRD1	4.21e-01	1	2919	protein_coding	GTF2I repeat domain containing 1	7	73868120	74016931
ENSG00000057935	MTA3	4.21e-01	1	2920	protein_coding	metastasis associated 1 family, member 3	2	42721709	42984087
ENSG00000114861	FOXP1	4.22e-01	1	2929	protein_coding	forkhead box P1	3	71003844	71633140
ENSG00000178568	ERBB4	4.22e-01	1	2929	protein_coding	v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 4	2	212240446	213403565
ENSG00000110801	PSMD9	4.22e-01	1	2933	protein_coding	proteasome (prosome, macropain) 26S subunit, non-ATPase, 9	12	122326637	122356203
ENSG00000148843	PDCD11	4.22e-01	1	2935	protein_coding	programmed cell death 11	10	105156405	105206049
ENSG00000157259	GATAD1	4.24e-01	1	2947	protein_coding	GATA zinc finger domain containing 1	7	92076767	92088150
ENSG00000163161	ERCC3	4.24e-01	1	2948	protein_coding	excision repair cross-complementing rodent repair deficiency, complementation group 3	2	128014866	128051752
ENSG00000184635	ZNF93	4.26e-01	1	2966	protein_coding	zinc finger protein 93	19	20011722	20046384
ENSG00000172534	HCFC1	4.26e-01	1	2969	protein_coding	host cell factor C1 (VP16-accessory protein)	X	153213004	153237258
ENSG00000163517	HDAC11	4.29e-01	1	2990	protein_coding	histone deacetylase 11	3	13521224	13547916
ENSG00000148297	MED22	4.29e-01	1	2993	protein_coding	mediator complex subunit 22	9	136205160	136214986
ENSG00000134852	CLOCK	4.29e-01	1	2997	protein_coding	clock circadian regulator	4	56294070	56413305
ENSG00000183864	TOB2	4.31e-01	1	3008	protein_coding	transducer of ERBB2, 2	22	41829496	41843027
ENSG00000137947	GTF2B	4.31e-01	1	3010	protein_coding	general transcription factor IIB	1	89318615	89357627
ENSG00000146109	ABT1	4.31e-01	1	3015	protein_coding	activator of basal transcription 1	6	26597180	26600278
ENSG00000141384	TAF4B	4.31e-01	1	3016	protein_coding	TAF4b RNA polymerase II, TATA box binding protein (TBP)-associated factor, 105kDa	18	23805900	23971649
ENSG00000028839	TBPL1	4.32e-01	1	3023	protein_coding	TBP-like 1	6	134273308	134311570
ENSG00000213762	ZNF134	4.32e-01	1	3025	protein_coding	zinc finger protein 134	19	58125601	58134724
ENSG00000154655	L3MBTL4	4.35e-01	1	3045	protein_coding	l(3)mbt-like 4 (Drosophila)	18	5954705	6415236
ENSG00000110711	AIP	4.36e-01	1	3057	protein_coding	aryl hydrocarbon receptor interacting protein	11	67250512	67258574
ENSG00000197157	SND1	4.36e-01	1	3060	protein_coding	staphylococcal nuclease and tudor domain containing 1	7	127292234	127732661
ENSG00000133112	TPT1	4.37e-01	1	3067	protein_coding	tumor protein, translationally-controlled 1	13	45911008	45915505
ENSG00000064995	TAF11	4.39e-01	1	3087	protein_coding	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa	6	34845555	34855866
ENSG00000106268	NUDT1	4.40e-01	1	3098	protein_coding	nudix (nucleoside diphosphate linked moiety X)-type motif 1	7	2281857	2290781
ENSG00000166228	PCBD1	4.41e-01	1	3105	protein_coding	pterin-4 alpha-carbinolamine dehydratase/dimerization cofactor of hepatocyte nuclear factor 1 alpha	10	72642037	72648541
ENSG00000166855	CLPX	4.42e-01	1	3110	protein_coding	caseinolytic mitochondrial matrix peptidase chaperone subunit	15	65440557	65477680
ENSG00000106290	TAF6	4.44e-01	1	3131	protein_coding	TAF6 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 80kDa	7	99704693	99717464
ENSG00000118058	KMT2A	4.45e-01	1	3139	protein_coding	lysine (K)-specific methyltransferase 2A	11	118307205	118397539
ENSG00000162702	ZNF281	4.46e-01	1	3152	protein_coding	zinc finger protein 281	1	200374068	200379184
ENSG00000130726	TRIM28	4.46e-01	1	3153	protein_coding	tripartite motif containing 28	19	59055458	59062089
ENSG00000197451	HNRNPAB	4.47e-01	1	3161	protein_coding	heterogeneous nuclear ribonucleoprotein A/B	5	177631508	177638164
ENSG00000120832	MTERFD3	4.53e-01	1	3216	protein_coding	MTERF domain containing 3	12	107371069	107380944
ENSG00000133895	MEN1	4.56e-01	1	3244	protein_coding	multiple endocrine neoplasia I	11	64570982	64578766
ENSG00000155229	MMS19	4.60e-01	1	3282	protein_coding	MMS19 nucleotide excision repair homolog (S. cerevisiae)	10	99218081	99258551
ENSG00000137693	YAP1	4.63e-01	1	3305	protein_coding	Yes-associated protein 1	11	101981192	102104154
ENSG00000087152	ATXN7L3	4.74e-01	1	3411	protein_coding	ataxin 7-like 3	17	42269173	42277481
ENSG00000189180	ZNF33A	4.74e-01	1	3411	protein_coding	zinc finger protein 33A	10	38299578	38354016
ENSG00000100320	RBFOX2	4.86e-01	1	3530	protein_coding	RNA binding protein, fox-1 homolog (C. elegans) 2	22	36134783	36424473
ENSG00000147133	TAF1	4.90e-01	1	3573	protein_coding	TAF1 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 250kDa	X	70586114	70752224
ENSG00000171681	ATF7IP	4.97e-01	1	3642	protein_coding	activating transcription factor 7 interacting protein	12	14518610	14651697
ENSG00000204231	RXRB	5.00e-01	1	3674	protein_coding	retinoid X receptor, beta	6	33161365	33168630
ENSG00000188994	ZNF292	5.05e-01	1	3730	protein_coding	zinc finger protein 292	6	87862551	87973914
ENSG00000127511	SIN3B	5.17e-01	1	3848	protein_coding	SIN3 transcription regulator family member B	19	16940211	16991164
ENSG00000083168	KAT6A	5.23e-01	1	3912	protein_coding	K(lysine) acetyltransferase 6A	8	41786997	41909508
ENSG00000164916	FOXK1	1.00e+00	0	2406	protein_coding	forkhead box K1	7	4683388	4811074
ENSG00000174059	CD34	1.00e+00	0	1966	protein_coding	CD34 molecule	1	208057594	208084747
ENSG00000019549	SNAI2	1.00e+00	0	2029	protein_coding	snail family zinc finger 2	8	49830249	49834299
ENSG00000106006	HOXA6	1.00e+00	0	1420	protein_coding	homeobox A6	7	27185015	27190222
ENSG00000078699	CBFA2T2	1.00e+00	0	2323	protein_coding	core-binding factor, runt domain, alpha subunit 2; translocated to, 2	20	32077881	32237842
ENSG00000179632	MAF1	1.00e+00	0	2708	protein_coding	MAF1 homolog (S. cerevisiae)	8	145159402	145162514
ENSG00000149922	TBX6	1.00e+00	0	2954	protein_coding	T-box 6	16	30097114	30103208
ENSG00000245848	CEBPA	1.00e+00	0	1712	protein_coding	CCAAT/enhancer binding protein (C/EBP), alpha	19	33790840	33793470
ENSG00000082641	NFE2L1	1.00e+00	0	2410	protein_coding	nuclear factor, erythroid 2-like 1	17	46125691	46138849
ENSG00000077150	NFKB2	1.00e+00	0	2456	protein_coding	nuclear factor of kappa light polypeptide gene enhancer in B-cells 2 (p49/p100)	10	104153867	104162281
ENSG00000248483	POU5F2	1.00e+00	0	4808	protein_coding	POU domain class 5, transcription factor 2	5	93070508	93077343
ENSG00000148513	ANKRD30A	1.00e+00	0	690	protein_coding	ankyrin repeat domain 30A	10	37414785	37673039
ENSG00000181788	SIAH2	1.00e+00	0	1137	protein_coding	siah E3 ubiquitin protein ligase 2	3	150458914	150481264
ENSG00000104885	DOT1L	1.00e+00	0	2941	protein_coding	DOT1-like histone H3K79 methyltransferase	19	2164148	2232577
ENSG00000139352	ASCL1	1.00e+00	0	1181	protein_coding	achaete-scute family bHLH transcription factor 1	12	103351464	103354294
ENSG00000060138	YBX3	1.00e+00	0	1469	protein_coding	Y box binding protein 3	12	10851683	10875911
ENSG00000167528	ZNF641	1.00e+00	0	2475	protein_coding	zinc finger protein 641	12	48733791	48745197
ENSG00000179772	FOXS1	1.00e+00	0	980	protein_coding	forkhead box S1	20	30432103	30433420
ENSG00000135373	EHF	1.00e+00	0	2003	protein_coding	ets homologous factor	11	34642640	34682604
ENSG00000137203	TFAP2A	1.00e+00	0	1919	protein_coding	transcription factor AP-2 alpha (activating enhancer binding protein 2 alpha)	6	10393419	10419892
ENSG00000185002	RFX6	1.00e+00	0	935	protein_coding	regulatory factor X, 6	6	117198375	117253326
ENSG00000101040	ZMYND8	1.00e+00	0	2600	protein_coding	zinc finger, MYND-type containing 8	20	45837859	45985567
ENSG00000152977	ZIC1	1.00e+00	0	1638	protein_coding	Zic family member 1	3	147111209	147228080
ENSG00000165030	NFIL3	1.00e+00	0	2294	protein_coding	nuclear factor, interleukin 3 regulated	9	94171327	94186144
ENSG00000160113	NR2F6	1.00e+00	0	3139	protein_coding	nuclear receptor subfamily 2, group F, member 6	19	17342692	17356749
ENSG00000099949	LZTR1	1.00e+00	0	3496	protein_coding	leucine-zipper-like transcription regulator 1	22	21333751	21353327
ENSG00000178028	DMAP1	1.00e+00	0	2859	protein_coding	DNA methyltransferase 1 associated protein 1	1	44679127	44686353
ENSG00000115641	FHL2	1.00e+00	0	1798	protein_coding	four and a half LIM domains 2	2	105974169	106054970
ENSG00000175221	MED16	1.00e+00	0	2735	protein_coding	mediator complex subunit 16	19	867962	893218
ENSG00000185650	ZFP36L1	1.00e+00	0	2432	protein_coding	ZFP36 ring finger protein-like 1	14	69254377	69263190
ENSG00000069812	HES2	1.00e+00	0	1408	protein_coding	hes family bHLH transcription factor 2	1	6472478	6484730
ENSG00000187323	DCC	1.00e+00	0	2388	protein_coding	deleted in colorectal carcinoma	18	49866542	51057784
ENSG00000171223	JUNB	1.00e+00	0	2043	protein_coding	jun B proto-oncogene	19	12902310	12904124
ENSG00000106829	TLE4	1.00e+00	0	3294	protein_coding	transducin-like enhancer of split 4 (E(sp1) homolog, Drosophila)	9	82186688	82341658
ENSG00000092607	TBX15	1.00e+00	0	1819	protein_coding	T-box 15	1	119425669	119532179
ENSG00000169840	GSX1	1.00e+00	0	587	protein_coding	GS homeobox 1	13	28366780	28368905
ENSG00000134013	LOXL2	1.00e+00	0	1807	protein_coding	lysyl oxidase-like 2	8	23154702	23282841
ENSG00000164989	CCDC171	1.00e+00	0	1800	protein_coding	coiled-coil domain containing 171	9	15552895	16061661
